appId,content,score,at
com.alloapp.yump,"Twice installing and uninstalling. Error all the time, unable to register, let alone logging in. The first page where it says allobank, just keep on flipping white screen back and front. I uninstalled it,thinking it was probably a glitch. Downloaded it again only to run into the same problem. Had enough of it after attempting it twice though it said it was compatible with my phone. All other apps work just fine, this one though, na ah. Just wouldn't even pass the first page.",1,2022-11-25 19:10:12
com.alloapp.yump,"i hope you're working on it cause this app is awful. both, actually, your web and your app. there's bug everywhere. sometimes it even shows the strange code im sure i wasn't supposed to see. the experience is really unsatisfying. the amount of loading time is sooo bothering. at the website, there's a bug while i registered my phone number but when i refreshed it already registered. so confusing. please be better.",1,2023-02-23 22:44:30
com.alloapp.yump,"Very poor UI/UX. Took several times to scan ID card. Cannot log in when the server is full, I never experienced this problem in other digital banks. Took me a long time to get answered by Customer Service on the phone. I also experienced some top up problems. I couldn't top up my wallet using various banks and other fintechs. There were no solutions about these problems other than to ""wait"". I'd recommend other digital bank with proper service.",1,2022-05-18 07:29:35
com.alloapp.yump,"Can't not even register on my phone (samsung note 10) for days .. Already fill in all the necessary information and data/ but the data inputed always becomes red with the statement under it ""ups we need this information"" .. Even after restart my phone and reinstalling the apps multiple times, still having the same issue ~ useless and wasting times :)))))))))))",1,2023-04-27 11:23:32
com.alloapp.yump,Sudah berhasil install tetapi tdk bisa dibuka. Muncul pesan : This App cannot run because the environment is not secure and your data may be at risk. Sudah menghubungi CS tetapi sangat slow respon.,1,2024-07-29 15:19:38
com.alloapp.yump,"2024, imagine you're going to a bank, but the door wont open to let you in. the app keep crashing when login. i wonder if there are any activities in your bank. major improvement needed.",1,2024-07-10 17:38:00
com.alloapp.yump,"Already have msmile, suddenly got SMS offer for paylater and its a trap for install Allo, weird same bank but you have 2 channels msmile and Allo bank, in my eyes of business you've wasted your money to running 2 different platform and I am sure you are suffering now cause burning your money, let me see my prediction you only can survive less than 5 years. Why i need to have 2 app under CT Corp? and why do i need to top up money for both app? focus just 1 qpp and make it advance",1,2024-06-16 12:50:13
com.alloapp.yump,I installed this apps because got informed that my application for was approved. But when I tried to activate the feature - it is said that my application was declined. And the worst is the apps got stuced in there and nothing I can do except for force the apps close.,1,2024-03-25 20:58:45
com.alloapp.yump,"This is a very stupid app, when login with my password there is an error saying that the number and password don't match, but when I tried to reset password, the system says that password cannot be the same as old one 😒",1,2024-05-02 07:45:13
com.alloapp.yump,"We worked together for sponsors, and managed to collect more than 80 users, but they (allobank team) weren't professional.",1,2024-07-03 16:43:55
com.alloapp.yump,"It keeps telling me to turn on automatic time setting. My internet connection was good but now i can't even log in, really annoying!!",1,2024-04-13 23:23:39
com.alloapp.yump,"Worst app ever. Always having trouble loging in. Lagging and bugs, I don't recommend this app. Save your time and uninstall it.",1,2024-05-17 20:27:22
com.alloapp.yump,"1) UI needs massive improvement (looks, feels & functions like having been made by high school students) 2) Transaction proofs are sent to emails and that's good, but would be better if we can also take a screenshot and send directly to the beneficiary without the need of emails. 3) There's actually admin fee for top-up. Totally a misleading advertisement done by 'professionals' 🤦🏻‍♂️ Update: 1 star due to transactions keep failing since yesterday, just at the right time when I need the most",1,2022-06-11 14:20:25
com.alloapp.yump,"It keeps telling me to turn on automatic time setting which i already did since the day i bought my phone!!!! Now i can't even log in, really annoying",1,2024-03-26 07:44:20
com.alloapp.yump,horrible. session ends everytime i quit the app and i have to log in again only to find out that the server couldn't handle that many requests. allo prime upgrade took at least 20 id card scan tries. bad UI/UX. numpad for pin sometimes not responsive. promoting this app with a grand launching like this kinda backfired since definitely no one wants to use your service now lmao,1,2022-05-17 19:44:30
com.alloapp.yump,"Still tons of bug. 1. It always kicked me out like many times and have to log in again. 2. The biometric login isn't worked. 3. I have accepted the email and notification that i already upgraded my account, but in the app it still starter. So disappointed.",1,2022-11-21 20:41:26
com.alloapp.yump,"The main purpose of digital bank are saving money, investment, transfer, top up, and payment, not for SHOPPING! Too many unnecessary news! Trying to top up, transfer, with no reason the session always back to home. We cant do anything with this application!",1,2022-05-26 22:58:14
com.alloapp.yump,"Never able to register, useless application. Every time I change the password, it always say the phone number does not match with the password. Selected 'forgot password', got the OTP through the phone, made new password. Same message every time, wrong password. Useless.",1,2022-08-18 16:36:04
com.alloapp.yump,"Unable to login to the app. When I wanted to pay using its QRis, I was unable to login to the app. The cashier told me that such issues were common. Many times the users have to wait for minutes and trigger the other customers mad for waiting. As the result, I have to use my other online banking's QRis. I won't bother ask their CS. It is much easier to use my other reputable online bank apps. They should have fix this acute problem in the first place instead of asking to be contacted",1,2023-04-06 15:28:19
com.alloapp.yump,"i don't receive my top up balance almost a week. no reply from direct message on instagram or from live chat on whatsapp. everytime i call the customer care they are always busy. in the end i try to ask the bank that i used and they said allo bank already return my top up balance without any information even on the app. very dissapointed, very bad service",1,2022-05-20 18:43:10
com.alloapp.yump,"Difficult to login, apps stuck and no response after keyin password. No error message, just stuck. I experience same case several month ago, but i can't see any improvement on this apps. Now i am worry how secure this apps for mobile banking apps. You need to fix this issue asap.. fyi, i am using samsung mobile phone S22",1,2023-05-19 08:36:57
com.alloapp.yump,"One of the worst apps I've ever known in my life! Never works properly! Nothing functions well. Numerous times to upgrade it without success. Always fails for use at any time! Most unrecommended application ever! DO NOT INSTALL THIS APPLICATION, only wastes your precious storage space.",1,2023-04-01 19:26:33
com.alloapp.yump,"Weird. Not only the application but also the promotion do. first time I try to upgrade my acc, I should restarted the app for many time. Then when I try to used their marketing promotion Rp 1 for parking in transpark, it's shocking me, I should go to the lobby mall first to pay the parking bill then go back to parking gate, why you guys make the promotion in complicated process? I'm not sure you are readdy to this promotion, very dissapointed.",1,2022-07-04 12:00:20
com.alloapp.yump,"cant open notifications.. cant take screenshot for proof of transfer.. slow loading speed.. no other banking features other than standard savings and transfers.. i think having features for investments or maybe commodity prices is way better than having those news articles no? u are a bank, not news outlet.. this app is released half-baked..",1,2022-08-25 15:25:04
com.alloapp.yump,"There are multiple occasions where the app had logged me out, and when I entered the password to log back in, it tells me that I entered the wrong password. Why does this keep happening? I had to change my password every time this happens and it gets super annoying.",1,2022-11-03 16:36:24
com.alloapp.yump,"I cannot register from the first time I installed this app. Every time I clicked on the checklist box to agree with its Term & Condition, the oage suddenly loop back to the registration page, therefore the button ""Buat Akun"" cannot be tapped because of this issue.",1,2023-08-07 14:07:05
com.alloapp.yump,"Too much error, cant scan parking ticket..",1,2024-06-16 14:18:01
com.alloapp.yump,"The promotion encourages us to use the app. However, the app was not responding when I wanted to pay. I had checked the connection and password, and they were all correct. So, please Allo Bank, if you want to make more people use the app, you should make sure that the app is ready to use.",1,2023-04-17 16:12:35
com.alloapp.yump,"Can't log in in my own phone, even i tried re-install it. When it works, log in only last for 30 minutes then it got logged out automatically and said my number is not registered, while i already a premium member. it keep going like that repeatedly, this app suck af.",1,2022-07-30 10:44:55
com.alloapp.yump,"Speechless, really frustrating app, paid bill using QR code, transaction on hold, checked in history of transaction, no update till 1 hour, then payment still pending, cant provide e statement to share the paid bill. What an extreme scam for such digital bank app. Send my regards to Mr. CT Hopefully he got my review!!!",1,2022-05-29 22:45:50
com.alloapp.yump,"Very poor! Once I logged in, it keeps saying ""mandatory upgrade abnormal, restart the app!"". Already tried to reinstall the app couple times, but still the same warning appearing! Lucky I did not make any top up yet to this app. Better use BCA mobile 👍",1,2022-06-10 08:38:35
com.alloapp.yump,Scanner ID card is so bad! Normal camera can took nice pictures but this app scanner make everything blurry Can't upgrade to prime cause scanner can't scan anything,1,2024-05-27 19:28:44
com.alloapp.yump,"Installing and uninstalling over and over for the same reason : ERROR, app wasnt user friendly, and it takes so much time just to enter the home screen. Very dissapointed.",1,2023-06-18 18:46:03
com.alloapp.yump,Try to scan my e KTP and always says unable to connect. Does it have reliable system? While I am having great experience with other Digital Banking Experience from other banks on the same location and my network was totally okay.,1,2022-08-23 13:25:53
com.alloapp.yump,"can't log in (freezing upon sending password). Password reset not working, reason is ""frequent use"". I can't make transactions if I can't even log into the app!",1,2023-01-29 19:45:39
com.alloapp.yump,"Bad experience with this bank, wasting my money by calling their call center !!!!!",1,2024-07-23 11:26:19
com.alloapp.yump,"Problem with top up everynow and then. Apps interface is horrible, need to take extra seconds to locate everything. I dont think its ready for public.",1,2022-05-22 19:33:28
com.alloapp.yump,"When i open the apps, At splash screen, it got close and then re-open again and then close again. This cycle never end. Please fix your apps, people's money are here!",1,2023-01-27 11:14:37
com.alloapp.yump,"Very dissapointing, sometimes it logs out by itself, the verification process few times got error, there are only a limited ammount of user who can login, still far to compete with existing apk.",1,2022-05-17 15:38:07
com.alloapp.yump,"too many errors. limited number of accesses is annoying so it is very difficult for me to log in, really bad first impression. Please fix all systems, thx",1,2022-05-18 00:34:38
com.alloapp.yump,After reading the review I uninstalled Don't want to waste my time,1,2024-07-15 14:36:59
com.alloapp.yump,"For the past week, I can't open my account due freeze or something like it since in-app update when using fingerprint login. Please fix it.",1,2022-11-29 16:54:37
com.alloapp.yump,"its always logout by it self, and the app sometimes crash and can't do anything. When i do some topup from another bank, the transaction is sucess but the nominal in this app still 0 IDR. poor you",1,2022-05-19 00:13:52
com.alloapp.yump,"Too much trouble when registering, many of the functions are not working properly, and the ads are not useful and annoying",1,2022-08-28 01:06:12
com.alloapp.yump,"can not working even with the good signal, i want to upgrade my account to be alloprime but i don't know what's wrong why the app not responding. And how do we know our account it's upgrading? Why there's no clue at all, in my account i don't know it is upgrading or not.",1,2023-08-14 20:32:04
com.alloapp.yump,"The most unstable digital bank app i have ever seen. Difficult to login even if network speed is excellent, i cant even login. Lagging. Bad UI. Bad UX.",1,2023-05-03 21:20:19
com.alloapp.yump,"I have topped up the balance to my allobank account so far the balance has not been entered even though the money transfer status is successful, jadi dimana uang gue sekarang SEBEL BANGET!!!! EMAIL GA DIBALES... please improve management and be more professional!!!",1,2022-05-18 19:09:13
com.alloapp.yump,"I was planning to get discount for purchasing at Coffee Bean Restaurant, what I get was using 20'000 IDR phone credit for talking to useless & wasteful customer service, and waiting for 1 hour for nothing, even I paid cash (means didnt get discount)",1,2022-10-14 14:11:10
com.alloapp.yump,"I received an SMS from Allo Bank stating that I was selected to get a paylater limit along with the application download link... but 1 second after registering my paylater submission application was rejected. very great fraud, DO NOT INSTAL THIS APPS!!!",1,2022-12-23 16:14:44
